event_code,node_key,node_type,text,speaker_role,dialogue_pc1,dialogue_pc2,dialogue_pc3,dialogue_pc4,stat_attr,stat_multiplier,fixed_damage,sfx,next_on_success,next_on_fail,next_default
suspicious_spring,react,dialogue,,random_ally,これ、飲めるのかしら？どう思う？,おい……飲めるのか？これ,これ、飲めんのかなぁ,これ……飲める……かな……？,,,,,,,choose
suspicious_spring,choose,party_choice_skip,誰が毒見する？,,,,,毒見しない,,,,,taste_roll,skip_react,
suspicious_spring,taste_roll,chance_branch,,,,,,,,70,,,taste_ok_intro,taste_bad_intro,
suspicious_spring,taste_ok_intro,narration,{chosen_name}は恐る恐る泉の水を口にした。,,,,,,,,,,,,taste_ok_line
suspicious_spring,taste_ok_line,dialogue,,chosen,ぷはー！うまいわ！,これは……うまいぞ,おっ、うまいぞ！いける！,あ、おいしい……飲めそうだよ……,,,,,,,taste_ok_heal
suspicious_spring,taste_ok_heal,restore_party,,,,,,,,20,,,,,taste_ok_after
suspicious_spring,taste_ok_after,narration,一同は泉を飲んで元気になった！,,,,,,,,,,,,end
suspicious_spring,taste_bad_intro,narration,{chosen_name}は恐る恐る泉の水を口にした。,,,,,,,,,,,,taste_bad_line
suspicious_spring,taste_bad_line,dialogue,,chosen,うっ！マズイわ！！,貴様ぁ！マズイぞ！,うわ、マズっ！飲めたもんじゃない！,うぇ……ゲロマズ……,,,,,,,taste_bad_dmg
suspicious_spring,taste_bad_dmg,apply_damage_chosen,,,,,,,,,30,,,,taste_bad_narr
suspicious_spring,taste_bad_narr,narration,{chosen_name}は胃腸にダメージを負った！,,,,,,,,,,,,taste_bad_other
suspicious_spring,taste_bad_other,dialogue,,random_ally_except_chosen,（あらら……飲まなくてよかったわ）,（ふっ……飲まなくてよかった）,（うわ、飲まなくてよかったな……）,（……。飲まなくてよかった……）,,,,,,,end
suspicious_spring,skip_react,dialogue,,random_ally,君子危うきに近寄らず、よ,自然を舐めないに越したことはないな,まぁ怖いし、やめとこうぜ,やめとこ……お腹壊したくないし……,,,,,,,end
suspicious_spring,end,end,,,,,,,,,,,,,
mysterious_presence,intro,narration,一同は異常な寒気を感じた。見れば、空間の一部が裂けている。,,,,,,,,,,,,rift2
mysterious_presence,rift2,narration,裂けた空間の向こうでは、まさに異次元と言わんばかりに、不気味な斑模様がうごめいてる。,,,,,,,,,,,,react1
mysterious_presence,react1,dialogue,,random_ally_store,な、なにこれ……,おい、なんだこれは,うわ、なんだこれ！,なに……これ……,,,,,,,react2
mysterious_presence,react2,dialogue,,random_ally_except_reactor,も、物凄い魔力を感じるわ。向こうに何がいるのかしら……,とてつもない魔力を感じるな。一体何がいるんだ……？,すごい魔力を感じるぞ。あっちに何がいるんだ！？,ものすごい魔力を感じる……。一体……何がいるの……？,,,,,,,choose
mysterious_presence,choose,binary_choice,空間の裂け目に、入りますか？,,はい,いいえ,,,,,,,enter1,decline1,
mysterious_presence,enter1,narration,一行は互いに顔を見合わせる。\n覚悟を決め、裂け目の向こうへと足を踏み入れた。,,,,,,,,,,,,enter2
mysterious_presence,enter2,narration,時空の歪みが一行の肉体を蝕む！,,,,,,,,,,,,enter_dmg
mysterious_presence,enter_dmg,apply_damage_party,,,,,,,,,2000,,,,enter_check
mysterious_presence,enter_check,check_party_alive,,,,,,,,,,,enter_battle,enter_game_over,
mysterious_presence,enter_battle,start_battle,,,,,,,,,,,,,inu_moe
mysterious_presence,enter_game_over,game_over,,,,,,,,,,,,,
mysterious_presence,decline1,narration,一行は互いに顔を見合わせる。\nこの先へ進むのは、あまりに自殺行為だ。,,,,,,,,,,,,end
mysterious_presence,end,end,,,,,,,,,,,,,
